liberror-perl	0.17030-1
libevent-2.1-7t64:amd64	2.1.12-stable-10+b1
libexecs1:amd64	1.4-2+b2
libexpat1:amd64	2.8.3-1~deb13u1
libext2fs-dev	1.47.2-3+b11
libext2fs2t64:amd64	1.47.2-3+b11
libfakeroot:amd64	1.37.1.1-1
libfdisk1:amd64	2.41.5-0+deb13u1
libfdt1:amd64	1.7.2-2+b1
libffi8:amd64	3.4.8-2
libfido2-1:amd64	1.15.0-1+b1
libfile-stripnondeterminism-perl	1.14.1-2
libfreetype6:amd64	2.13.3+dfsg-1+deb13u1
libfstrm0:amd64	0.6.1-1+b3
libfuse3-4:amd64	3.17.2-3
libgcc-14-dev:amd64	14.2.0-19
libgcc-s1:amd64	14.2.0-19
libgcrypt20:amd64	1.11.0-7+deb13u1
libgdbm-compat4t64:amd64	1.24-2
libgdbm6t64:amd64	1.24-2
libglib2.0-0t64:amd64	2.84.4-3~deb13u3
libgmp-dev:amd64	2:6.3.0+dfsg-3
libgmp10:amd64	2:6.3.0+dfsg-3
libgmpxx4ldbl:amd64	2:6.3.0+dfsg-3
libgnat-14:amd64	14.2.0-19
libgnatprj12:amd64	2025.0.0-4
libgnutls-dane0t64:amd64	3.8.9-3+deb13u4
libgnutls-openssl27t64:amd64	3.8.9-3+deb13u4
libgnutls28-dev:amd64	3.8.9-3+deb13u4
libgnutls30t64:amd64	3.8.9-3+deb13u4
libgomp1:amd64	14.2.0-19
libgpg-error0:amd64	1.51-4
libgpm2:amd64	1.20.7-11+b2
libgprofng0:amd64	2.44-3
libgssapi-krb5-2:amd64	1.21.3-5+deb13u1
libgssrpc4t64:amd64	1.21.3-5+deb13u1
libhogweed6t64:amd64	3.10.1-1
libhwasan0:amd64	14.2.0-19
libibverbs1:amd64	56.1-1
libidn2-0:amd64	2.3.8-2
libidn2-dev:amd64	2.3.8-2
libip4tc2:amd64	1.8.11-2
libip6tc2:amd64	1.8.11-2
libisl23:amd64	0.27-1
libisoburn1t64:amd64	1.5.6-1.2+b1
